#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-20T17:20:59 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-20T17:21:00	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VII/202/catalog&-out=ID,Name,GLON,GLAT,Rsun,Rgc,X,Y,Z,Vlsr&-out.max=200	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7202
#Name: VII/202
#Title: Globular Clusters in the Milky Way (Harris, 1997)
#INFO	ivoid=ivo://cds.vizier/vii/202	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/202	    IVOID of underlying data collection
#INFO	creator=Harris W.E.	    First author or institution
#INFO	cites=bibcode:1996AJ....112.1487H	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=1996	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/202	    Dataset landing page
#INFO	publication_date=2015-08-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VII_202_catalog:
#Name: VII/202/catalog
#Title: The catalogue of Globular Clusters
#Column	ID	(A9)	Cluster identification number	[ucd=meta.id;phys.atmol.number]
#Column	Name	(a11)	Other commonly used cluster name	[ucd=meta.id;meta.main]
#Column	GLON	(F6.2)	Galactic longitude	[ucd=pos.galactic.lon]
#Column	GLAT	(F6.2)	Galactic latitude	[ucd=pos.galactic.lat]
#Column	Rsun	(F5.1)	? Distance from Sun	[ucd=pos.distance;pos.heliocentric]
#Column	Rgc	(F5.1)	? Distance from Galactic center, assuming R(Sun)=8.0 kpc	[ucd=pos.distance;pos.galactocentric]
#Column	X	(F5.1)	? X-component (1)	[ucd=pos]
#Column	Y	(F5.1)	? Y-component (1)	[ucd=pos]
#Column	Z	(F5.1)	? Z-component (1)	[ucd=pos]
#Column	Vlsr	(F6.1)	? Radial velocity relative to Solar local standard of rest	[ucd=spect.dopplerVeloc;pos.lsr]
ID	Name	GLON	GLAT	Rsun	Rgc	X	Y	Z	Vlsr
NGC 5927 	           	326.60	  4.86	  7.4	  4.5	  6.2	 -4.1	  0.6	-114.5
NGC 5946 	           	327.58	  4.19	 12.3	  7.1	 10.4	 -6.6	  0.9	 120.9
BH 176   	           	328.41	  4.34	 15.2	  9.4	 12.9	 -8.0	  1.2	
NGC 5986 	           	337.02	 13.27	 10.3	  4.7	  9.2	 -3.9	  2.4	  94.3
Lynga 7  	           	328.77	 -2.79	  7.0	  4.2	  6.0	 -3.6	 -0.3	   8.9
Pal 14   	AvdB       	 28.75	 42.18	 72.2	 67.3	 46.9	 25.7	 48.5	  93.5
NGC 6093 	M 80       	352.67	 19.46	  8.7	  3.1	  8.1	 -1.0	  2.9	  19.7
NGC 6121 	M 4        	350.97	 15.97	  2.2	  6.0	  2.0	 -0.3	  0.6	  79.8
NGC 6101 	           	317.75	-15.82	 15.1	 11.0	 10.8	 -9.8	 -4.1	 357.2
NGC 6144 	           	351.93	 15.70	 10.1	  3.4	  9.6	 -1.4	  2.7	 198.8
NGC 6139 	           	342.37	  6.94	 10.5	  3.9	  9.9	 -3.2	  1.3	  13.0
Terzan 3 	           	345.08	  9.19	 26.4	 18.9	 25.2	 -6.7	  4.2	
NGC 6171 	M 107      	  3.37	 23.01	  6.3	  3.3	  5.8	  0.3	  2.4	 -20.6
1636-283 	ESO452-SC11	351.91	 12.10	  7.6	  2.0	  7.4	 -1.0	  1.6	
NGC 6205 	M 13       	 59.01	 40.91	  7.0	  8.3	  2.7	  4.5	  4.6	-228.2
NGC 6229 	           	 73.64	 40.31	 29.3	 28.7	  6.3	 21.4	 19.0	-136.4
NGC 6218 	M 12       	 15.72	 26.31	  4.7	  4.6	  4.1	  1.2	  2.1	 -26.3
NGC 6235 	           	358.92	 13.52	  9.7	  2.7	  9.5	 -0.2	  2.3	  98.8
NGC 6254 	M 10       	 15.14	 23.08	  4.3	  4.6	  3.8	  1.0	  1.7	  91.5
NGC 6256 	           	347.79	  3.31	  9.3	  2.3	  9.1	 -2.0	  0.5	
Pal 15   	           	 18.87	 24.30	 43.6	 36.9	 37.6	 12.8	 17.9	  85.2
NGC 6266 	M 62       	353.58	  7.32	  6.7	  1.8	  6.6	 -0.7	  0.9	 -56.3
NGC 6273 	M 19       	356.87	  9.38	  8.5	  1.5	  8.4	 -0.5	  1.4	 145.6
NGC 6284 	           	358.35	  9.94	 14.3	  6.6	 14.1	 -0.4	  2.5	  40.8
NGC 6287 	           	  0.13	 11.02	  8.4	  1.6	  8.3	  0.0	  1.6	-196.4
NGC 6293 	           	357.62	  7.83	  8.8	  1.5	  8.7	 -0.4	  1.2	 -88.2
NGC 6304 	           	355.83	  5.38	  6.0	  2.2	  5.9	 -0.4	  0.6	 -97.4
NGC 6316 	           	357.18	  5.76	 11.5	  3.7	 11.4	 -0.6	  1.2	  81.8
NGC 6341 	M 92       	 68.34	 34.86	  8.1	  9.5	  2.4	  6.1	  4.6	-103.0
NGC 6325 	           	  0.97	  8.00	  9.4	  1.9	  9.3	  0.2	  1.3	  14.7
NGC 6333 	M 9        	  5.54	 10.70	  8.3	  1.7	  8.1	  0.8	  1.5	 242.0
NGC 6342 	           	  4.90	  9.73	  9.1	  1.9	  8.9	  0.8	  1.5	  93.6
NGC 6356 	           	  6.72	 10.22	 14.6	  7.0	 14.3	  1.7	  2.6	  40.2
NGC 6355 	           	359.58	  5.43	  7.1	  1.2	  7.0	 -0.1	  0.7	-166.0
NGC 6352 	           	341.42	 -7.17	  5.6	  3.3	  5.2	 -1.8	 -0.7	-116.7
IC 1257  	           	 16.53	 15.14	 24.5	 17.3	 22.6	  6.7	  6.4	
Terzan 2 	HP 3       	356.32	  2.30	  9.5	  1.6	  9.5	 -0.6	  0.4	 118.7
NGC 6366 	           	 18.41	 16.04	  3.6	  4.9	  3.3	  1.1	  1.0	-106.3
Terzan 4 	HP 4       	356.02	  1.31	  8.9	  1.1	  8.9	 -0.6	  0.2	 -40.5
HP 1     	BH 229     	357.42	  2.12	  7.2	  0.9	  7.2	 -0.3	  0.3	  63.1
NGC 6362 	           	325.55	-17.57	  7.5	  5.1	  5.9	 -4.0	 -2.3	 -15.1
Liller 1 	           	354.84	 -0.16	 10.5	  2.6	 10.5	 -0.9	  0.0	  61.0
NGC 6380 	Ton 1      	350.18	 -3.42	     	     	     	     	     	
Terzan 1 	HP 2       	357.57	  1.00	  6.5	  1.5	  6.5	 -0.3	  0.1	  44.9
Ton 2    	Pismis 26  	350.80	 -3.42	  7.9	  1.4	  7.8	 -1.3	 -0.5	
NGC 6388 	           	345.56	 -6.74	 11.5	  4.4	 11.1	 -2.9	 -1.4	  86.7
NGC 6402 	M 14       	 21.32	 14.81	  8.7	  3.8	  7.8	  3.1	  2.2	 -49.7
NGC 6401 	           	  3.45	  3.98	  7.5	  0.9	  7.5	  0.5	  0.5	 -53.2
NGC 6397 	           	338.17	-11.96	  2.2	  6.0	  2.0	 -0.8	 -0.5	  21.4
Pal 6    	           	  2.09	  1.78	  6.7	  1.4	  6.7	  0.2	  0.2	 212.2
NGC 6426 	           	 28.09	 16.23	 19.9	 13.8	 16.8	  9.0	  5.6	-144.5
Djorg 1  	           	356.67	 -2.48	  9.2	  1.4	  9.2	 -0.5	 -0.4	
Terzan 5 	Terzan 11  	  3.81	  1.67	  8.0	  0.6	  8.0	  0.5	  0.2	 -82.4
NGC 6440 	           	  7.73	  3.80	  8.0	  1.2	  7.9	  1.1	  0.5	 -65.9
NGC 6441 	           	353.53	 -5.01	  9.7	  2.1	  9.6	 -1.1	 -0.8	  26.3
Terzan 6 	HP 5       	358.57	 -2.16	  7.5	  0.6	  7.5	 -0.2	 -0.3	 135.7
NGC 6453 	           	355.72	 -3.87	 10.9	  3.1	 10.9	 -0.8	 -0.7	 -74.9
UKS 1    	           	  5.12	  0.76	  7.5	  0.8	  7.5	  0.7	  0.1	
NGC 6496 	           	348.02	-10.01	 11.6	  4.4	 11.1	 -2.4	 -2.0	-107.0
Terzan 9 	           	  3.60	 -1.99	  7.8	  0.6	  7.8	  0.5	 -0.3	  70.0
Djorg 2  	E456-SC38  	  2.76	 -2.51	 13.8	  5.8	 13.8	  0.7	 -0.6	
NGC 6517 	           	 19.23	  6.76	 10.5	  4.1	  9.9	  3.4	  1.2	 -24.1
Terzan 10	           	  4.42	 -1.86	  8.4	  0.8	  8.3	  0.6	 -0.3	
NGC 6522 	           	  1.02	 -3.93	  7.0	  1.1	  7.0	  0.1	 -0.5	  -4.9
NGC 6535 	           	 27.18	 10.44	  6.8	  3.9	  5.9	  3.0	  1.2	-198.0
NGC 6528 	           	  1.14	 -4.17	  7.4	  0.8	  7.4	  0.1	 -0.5	 195.0
NGC 6539 	           	 20.80	  6.78	  7.9	  3.0	  7.3	  2.8	  0.9	 -29.9
NGC 6540 	Djorg 3    	  3.29	 -3.31	  3.5	  4.5	  3.5	  0.2	 -0.2	
NGC 6544 	           	  5.84	 -2.20	  2.5	  5.5	  2.5	  0.3	 -0.1	 -15.7
NGC 6541 	           	349.29	-11.18	  7.4	  2.1	  7.2	 -1.4	 -1.4	-150.3
NGC 6553 	           	  5.25	 -3.02	  4.7	  3.3	  4.7	  0.4	 -0.2	   4.8
NGC 6558 	           	  0.20	 -6.03	  6.4	  1.8	  6.4	  0.0	 -0.7	-134.1
IC 1276  	Pal 7      	 21.83	  5.67	  9.3	  3.6	  8.6	  3.5	  0.9	
Terzan 12	           	  8.36	 -2.10	     	     	     	     	     	
NGC 6569 	           	  0.48	 -6.68	  8.5	  1.1	  8.4	  0.1	 -1.0	 -18.5
NGC 6584 	           	342.14	-16.41	 13.0	  6.5	 11.8	 -3.8	 -3.7	 226.0
NGC 6624 	           	  2.79	 -7.91	  7.9	  1.2	  7.8	  0.4	 -1.1	  63.9
NGC 6626 	M 28       	  7.80	 -5.58	  5.7	  2.5	  5.7	  0.8	 -0.6	  28.5
NGC 6638 	           	  7.90	 -7.15	  8.2	  1.5	  8.0	  1.1	 -1.0	  29.4
NGC 6637 	M 69       	  1.72	-10.27	  8.2	  1.5	  8.1	  0.2	 -1.5	  49.3
NGC 6642 	           	  9.81	 -6.44	  7.6	  1.6	  7.5	  1.3	 -0.9	 -45.3
NGC 6652 	           	  1.53	-11.38	  9.4	  2.2	  9.2	  0.2	 -1.9	-102.6
NGC 6656 	M 22       	  9.89	 -7.55	  3.2	  5.0	  3.1	  0.5	 -0.4	-137.2
Pal 8    	           	 14.10	 -6.80	 12.4	  5.2	 12.0	  3.0	 -1.5	 -30.3
NGC 6681 	M 70       	  2.85	-12.51	  8.7	  2.0	  8.5	  0.4	 -1.9	 227.9
NGC 6712 	           	 25.35	 -4.32	  6.7	  3.5	  6.0	  2.9	 -0.5	 -92.6
NGC 6715 	M 54       	  5.61	-14.09	 26.2	 18.6	 25.3	  2.5	 -6.4	 151.6
NGC 6717 	Pal 9      	 12.88	-10.90	  7.1	  2.4	  6.8	  1.6	 -1.3	  34.6
NGC 6723 	           	  0.07	-17.30	  8.6	  2.6	  8.2	  0.0	 -2.5	 -86.7
NGC 6749 	           	 36.20	 -2.20	  7.7	  4.9	  6.2	  4.6	 -0.3	
NGC 6752 	           	336.50	-25.63	  3.9	  5.3	  3.2	 -1.4	 -1.7	 -24.4
NGC 6760 	           	 36.11	 -3.92	  7.3	  4.8	  5.9	  4.3	 -0.5	 -10.9
NGC 6779 	M 56       	 62.66	  8.34	  9.9	  9.5	  4.5	  8.7	  1.4	-116.9
Terzan 7 	           	  3.39	-20.07	 23.0	 15.8	 21.6	  1.3	 -7.9	 174.1
Pal 10   	           	 52.44	  2.72	  5.8	  6.4	  3.5	  4.6	  0.3	
Arp 2    	           	  8.55	-20.78	 27.6	 20.4	 25.5	  3.8	 -9.8	 124.1
NGC 6809 	M 55       	  8.80	-23.27	  5.3	  3.9	  4.8	  0.7	 -2.1	 183.4
Terzan 8 	           	  5.76	-24.56	 25.4	 18.5	 23.0	  2.3	-10.6	 137.7
Pal 11   	           	 31.81	-15.58	 12.6	  7.6	 10.3	  6.4	 -3.4	 -53.9
NGC 6838 	M 71       	 56.74	 -4.56	  3.8	  6.7	  2.1	  3.2	 -0.3	  -5.5
NGC 6864 	M 75       	 20.30	-25.75	 18.4	 12.4	 15.5	  5.7	 -8.0	-179.1
NGC 6934 	           	 52.10	-18.89	 15.2	 12.4	  8.8	 11.3	 -4.9	-396.7
NGC 6981 	M 72       	 35.16	-32.68	 16.8	 12.7	 11.6	  8.1	 -9.1	-334.7
NGC 7006 	           	 63.77	-19.41	 40.7	 38.0	 17.0	 34.4	-13.5	-363.2
NGC 7078 	M 15       	 65.01	-27.31	 10.2	 10.3	  3.8	  8.2	 -4.7	 -95.0
NGC 7089 	M 2        	 53.38	-35.78	 11.4	 10.3	  5.5	  7.4	 -6.7	   5.1
NGC 7099 	M 30       	 27.18	-46.83	  7.9	  7.0	  4.8	  2.5	 -5.7	-178.6
Pal 12   	           	 30.51	-47.68	 18.7	 15.5	 10.8	  6.4	-13.8	  33.5
Pal 13   	           	 87.10	-42.70	 26.3	 27.2	  1.0	 19.3	-17.9	 -21.7
NGC 7492 	           	 53.39	-63.48	 25.2	 24.3	  6.7	  9.0	-22.5	-206.1

