#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-23T12:46:02 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-23T12:46:02	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/AcA/69/305/table1&-out=Name,GLON,GLAT,Dist,e_Dist,Age,_RA.icrs,_DE.icrs&-out.max=3000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_120690305
#Name: J/AcA/69/305
#Title: Northern Galactic disk classical Cepheids (Skowron+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/aca/69/305	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aca/69/305	    IVOID of underlying data collection
#INFO	creator=Skowron D.M.	    First author or institution
#INFO	cites=bibcode:2019AcA....69..305S	    Article or Data origin sources
#INFO	journal=AcA	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AcA/69/305	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.120690305	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-09-25	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	G:	galactic
#Table	J_AcA_69_305_table1:
#Name: J/AcA/69/305/table1
#Title: Newly detected classical Cepheids
#Column	Name	(a23)	Cepheid ID	[ucd=meta.id;meta.main]
#Column	GLON	(F9.5)	Galactic longitude	[ucd=pos.galactic.lon]
#Column	GLAT	(F9.5)	Galactic latitude	[ucd=pos.galactic.lat]
#Column	Dist	(I6)	? Distance to the Cepheid	[ucd=pos.distance]
#Column	e_Dist	(I4)	? Distance to the Cepheid error	[ucd=stat.error]
#Column	Age	(I4)	Cepheid age	[ucd=time.age]
#Column	_RA.icrs	(F9.5)	Right ascension (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F9.5)	Declination (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
Name	GLON	GLAT	Dist	e_Dist	Age	_RA.icrs	_DE.icrs
OGLE-BLG-CEP-161       	019.76588	+01.16170	 19163	1206	 155	275.72321	-11.15300
V389__Sct              	020.19376	+00.08280	  1931	  53	  94	276.89950	-11.27858
OGLE-BLG-CEP-160       	020.23881	+01.48013	      	    	  62	275.66254	-10.58609
TX____Sct              	020.29033	-00.04478	  2638	 209	  42	277.06045	-11.25241
V412__Ser              	020.36456	+03.88912	  1617	  47	 103	273.56594	-09.33906
Y_____Oph              	020.59840	+10.12048	   632	  23	  53	268.16124	-06.14358
V458__Sct              	020.62348	+01.73964	  1607	  52	 106	275.61279	-10.12478
OGLE-BLG-CEP-162       	020.74124	+01.09412	 18594	 565	  64	276.24846	-10.32281
OGLE-BLG-CEP-163       	020.91695	+00.82978	 13275	 461	 130	276.56941	-10.29075
OGLE-GD-CEP-1367       	020.93065	-00.36615	  5360	 120	  48	277.65317	-10.83424
OGLE-BLG-CEP-168       	021.05971	-06.05835	      	    	  67	282.89746	-13.30881
OGLE-GD-CEP-1361       	021.36920	+01.65681	      	    	 103	276.04117	-09.50486
OGLE-GD-CEP-1363       	021.62651	+01.17220	      	    	 174	276.59745	-09.50347
V367__Sct              	021.62933	-00.82632	  1900	  46	  91	278.39683	-10.42725
OGLE-GD-CEP-1366       	021.78451	+00.08713	  7634	 305	  33	277.64672	-09.86755
J183904-1049.3         	021.89644	-02.20398	  1860	  58	 106	279.76678	-10.82259
J194551.90-175602.9    	022.39582	-19.85315	 14618	 582	 201	296.46624	-17.93413
OGLE-GD-CEP-1364       	022.64066	+01.22373	 16804	1289	 126	277.02884	-08.58194
OGLE-GD-CEP-1377       	022.69182	-00.82917	  4125	 104	  58	278.89608	-09.48552
OGLE-GD-CEP-1372       	022.96984	+00.12494	  3210	  62	  79	278.16821	-08.79908
J183652-0907.1         	023.16434	-00.94256	  1895	  34	 116	279.21816	-09.11802
OGLE-GD-CEP-1256       	023.56280	-05.79310	 10581	 636	 233	283.79212	-10.96273
OGLE-GD-CEP-1205       	023.93904	-00.42917	  4318	 154	  43	279.11692	-08.19411
Y_____Sct              	023.96406	-00.85834	  1690	  56	  69	279.51379	-08.36895
EV____Sct              	023.96915	-00.46718	  1818	  46	 106	279.16500	-08.18483
J279.0161-07.9499      	024.11004	-00.22832	  3363	 153	  58	279.01617	-07.94991
OGLE-GD-CEP-1362       	024.22708	+02.77176	 23338	 880	 258	276.38950	-06.45869
OGLE-GD-CEP-1219       	024.54484	-01.67954	 10228	 229	  42	280.52022	-08.22857
OGLE-GD-CEP-1378       	024.74936	+00.13698	  4661	 126	  58	278.98554	-07.21422
OGLE-GD-CEP-1211       	025.11857	-00.80383	  9130	 230	  39	279.99900	-07.31797
SS____Sct              	025.17355	-01.81473	  1015	  27	 127	280.93129	-07.73111
OGLE-GD-CEP-1214       	025.23155	-00.84323	 11589	 366	  74	280.08646	-07.23559
EW____Sct              	025.33782	-00.09210	   479	  23	  99	279.46295	-06.79680
OGLE-GD-CEP-1212       	025.37195	-00.72856	 12667	 553	 124	280.04850	-07.05827
OGLE-GD-CEP-1369       	025.48430	+01.58357	 10494	 287	 139	278.03396	-05.89552
OGLE-GD-CEP-1207       	025.51697	+00.06573	  3910	 109	  63	279.40458	-06.56519
OGLE-GD-CEP-1209       	025.74028	-00.20676	  3181	 121	  62	279.75141	-06.49180
OGLE-GD-CEP-1368       	025.78035	+01.91519	 20438	1144	 202	277.87555	-05.47997
OGLE-GD-CEP-1204       	025.87729	+00.57799	  3190	  67	  64	279.11333	-06.00983
OGLE-GD-CEP-1365       	026.26834	+02.78097	      	    	 212	277.33063	-04.64769
CK____Sct              	026.31931	-00.46895	  2110	  56	  83	280.25274	-06.09722
OGLE-GD-CEP-1213       	026.35481	-00.22988	  4162	 104	  53	280.05537	-05.95620
J184741-0654.4         	026.35556	-02.31365	  2592	  81	  70	281.92150	-06.90669
OGLE-GD-CEP-1210       	026.43741	-00.11886	  4846	 188	  33	279.99420	-05.83192
OGLE-GD-CEP-1216       	026.61067	-00.31350	  4360	 100	  99	280.24787	-05.76703
J183347-0448.6         	026.63759	+01.72093	  1701	  37	 107	278.44516	-04.80914
Z_____Sct              	026.78612	-00.77235	  2837	 100	  60	280.73867	-05.82088
OGLE-GD-CEP-1236       	026.98959	-01.34627	      	    	  87	281.34533	-05.90192
CM____Sct              	027.15535	-00.44055	  2276	  52	 117	280.61175	-05.34083
J280.6497-05.2660      	027.23919	-00.44006	  3804	 101	  55	280.64981	-05.26605
OGLE-GD-CEP-1267       	027.43321	-05.48555	      	    	 433	285.26271	-07.38181
OGLE-GD-CEP-1217       	027.45654	-00.03878	  5440	 182	  33	280.39137	-04.88922
OGLE-GD-CEP-1228       	027.81428	-00.53817	  8862	 287	  58	281.00124	-04.79939
J262.2976+04.9065      	027.82063	+20.51390	 28190	 991	 133	262.29768	+04.90656
OGLE-GD-CEP-1227       	027.84488	-00.51476	  3662	  83	  68	280.99437	-04.76147
OGLE-GD-CEP-1253       	027.85842	-03.45358	      	    	 401	283.62941	-06.08653
OGLE-GD-CEP-1222       	027.92293	-00.11984	  6193	 215	  56	280.67775	-04.51156
OGLE-GD-CEP-1234       	027.93429	-00.84737	  6460	 180	  52	281.33229	-04.83381
OGLE-GD-CEP-1218       	027.94415	+00.17154	  4382	 168	  58	280.42759	-04.35942
TY____Sct              	028.05085	+00.10823	  2334	  64	  66	280.53300	-04.29350
CN____Sct              	028.06071	+00.00785	  2612	  72	  69	280.62704	-04.33064
RU____Sct              	028.19150	+00.23451	  1969	  81	  48	280.48491	-04.11066
V496__Aql              	028.19859	-07.12734	  1002	  35	  90	287.08654	-07.43775
FT____Sct              	028.22715	-00.50300	  3122	  70	  97	281.15904	-04.41605
OGLE-GD-CEP-1229       	028.23809	-00.34752	  5754	 160	  41	281.02533	-04.33530
OGLE-GD-CEP-1208       	028.24448	+01.44527	      	    	  69	279.43054	-03.50903
OGLE-GD-CEP-1225       	028.38767	-00.18041	  3424	  74	  81	280.94480	-04.12590
OGLE-GD-CEP-1206       	028.69486	+01.86948	      	    	  75	279.25970	-02.91445
OGLE-GD-CEP-1232       	028.70327	-00.25059	  5646	 156	  54	281.15192	-03.87722
OGLE-GD-CEP-1235       	028.75922	-00.42742	  4581	 139	  49	281.33520	-03.90819
OGLE-GD-CEP-1374       	028.77625	+02.86816	      	    	 172	278.40871	-02.38402
OGLE-GD-CEP-1215       	028.80614	+00.93366	 14469	 502	 113	280.14379	-03.24425
BX____Sct              	028.89706	-01.70527	  2047	  79	  90	282.53850	-04.36811
OGLE-GD-CEP-1230       	028.90481	-00.02707	  3729	  82	  75	281.04491	-03.59583
OGLE-GD-CEP-1237       	029.04323	-00.31174	  3869	 101	  61	281.36200	-03.60270
V1162_Aql              	029.42402	-18.60544	  1222	  38	 102	298.08745	-11.36686
J277.4719-01.1104      	029.47945	+04.28453	 11800	 539	  68	277.47199	-01.11043
DV____Ser              	029.52992	+01.40697	  6480	 166	  42	280.05399	-02.38424
OGLE-GD-CEP-1384       	029.59993	+01.48647	 14376	 452	 114	280.01529	-02.28564
OGLE-GD-CEP-1226       	029.61288	+00.40080	  2757	  55	 182	280.98771	-02.77050
OGLE-GD-CEP-1382       	029.63869	+01.97264	 19625	 821	 132	279.60046	-02.02869
OGLE-GD-CEP-1220       	029.73862	+00.92930	  4569	 130	 232	280.57467	-02.41714
OGLE-GD-CEP-1268       	029.77764	-06.74545	 21991	 875	  81	287.45029	-05.86538
Lp30A                  	029.80988	+00.07384	  5455	 150	  58	281.36899	-02.74458
OGLE-GD-CEP-1239       	029.81465	-00.23925	  4902	 172	  29	281.65008	-02.88325
OGLE-GD-CEP-1386       	029.95373	+01.33633	 20479	 521	  90	280.31079	-02.03978
OGLE-GD-CEP-1224       	030.02584	+00.73499	  6854	 204	  77	280.87900	-02.25050
OGLE-GD-CEP-1231       	030.24664	+00.60652	  2705	  69	  60	281.09429	-02.11278
OGLE-GD-CEP-1376       	030.29682	+03.17082	  2341	  76	 206	278.83583	-00.89572
OGLE-GD-CEP-1240       	030.38839	-00.37845	  3904	 116	  60	282.03612	-02.43622
J285.5187-04.1866      	030.41032	-04.27087	 28493	1241	 131	285.51879	-04.18661
OGLE-GD-CEP-1371       	030.72821	+04.15012	 21841	 951	 164	278.16192	-00.06492
OGLE-GD-CEP-1373       	030.75970	+03.94171	      	    	  86	278.36163	-00.13227
AA____Ser              	030.79358	+01.73417	  3437	  78	  51	280.34067	-01.11122
U_____Aql              	030.90698	-11.61819	   611	  23	  89	292.33900	-07.04409
J195350.28-095621.4    	030.94980	-18.32751	 15060	 562	 186	298.45949	-09.93928
OGLE-GD-CEP-1242       	030.97609	-00.22701	  3663	  79	  78	282.16950	-01.84414
OGLE-GD-CEP-1243       	030.97959	-00.33280	      	    	  60	282.26529	-01.88928
J275.7919+01.5053      	031.04374	+06.97545	      	    	  49	275.79194	+01.50530
OGLE-GD-CEP-1259       	031.13274	-02.45103	 11470	 264	  59	284.22235	-02.71783
OGLE-GD-CEP-1258       	031.32655	-02.16466	  8298	 235	  39	284.05529	-02.41508
OGLE-GD-CEP-1244       	031.45395	-00.14517	  3688	  97	  66	282.31466	-01.38155
OGLE-GD-CEP-1380       	031.62315	+03.58712	 20839	1055	 242	279.07063	+00.47220
OGLE-GD-CEP-1245       	031.72175	-00.02900	  4441	 109	  86	282.33341	-01.09024
OGLE-GD-CEP-1375       	031.73567	+04.17738	 16603	 639	 133	278.59658	+00.84142
OGLE-GD-CEP-1241       	031.77380	+00.30374	  4992	 138	  32	282.06099	-00.89216
OGLE-GD-CEP-1389       	031.89151	+01.21029	 14163	 366	  91	281.30792	-00.37386
OGLE-GD-CEP-1381       	032.13330	+03.40401	      	    	 140	279.46588	+00.84181
OGLE-GD-CEP-1246       	032.20766	-00.04601	  5694	 135	  78	282.57017	-00.66556
OGLE-GD-CEP-1370       	032.21405	+04.99390	 22272	1265	 233	278.08704	+01.63803
OGLE-GD-CEP-1247       	032.36774	-00.16475	  4248	  96	 117	282.74885	-00.57723
OGLE-GD-CEP-1383       	032.61339	+03.35610	      	    	 193	279.72700	+01.24655
OGLE-GD-CEP-1398       	032.89903	+00.06230	  6140	 189	  83	282.78904	-00.00086
V493__Aql              	032.96209	-01.66048	  2208	  64	 138	284.35112	-00.73022
OGLE-GD-CEP-1387       	032.98170	+02.48250	 20872	1435	 172	280.67246	+01.17597
OGLE-GD-CEP-1257       	033.03159	-01.03955	 12650	 457	 110	283.83013	-00.38530
V1495_Aql              	033.04821	-00.46291	  3153	  69	  74	283.32449	-00.10758
OGLE-GD-CEP-1249       	033.12767	-00.15502	  4055	  81	  81	283.08671	+00.10353
OGLE-GD-CEP-1254       	033.25333	-00.76265	  9107	 227	  65	283.68478	-00.06172
V1496_Aql              	033.26878	-00.82581	  3931	 121	  24	283.74804	-00.07677
