#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-21T13:35:56 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-21T13:35:56	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/505/5978/tablea1&-out=Name,OName,RAJ2000,DEJ2000,pmRA,pmDE&-out.max=300	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_75055978
#Name: J/MNRAS/505/5978
#Title: Gaia EDR3 view on Galactic globular clusters (Vasiliev+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/mnras/505/5978	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/505/5978	    IVOID of underlying data collection
#INFO	creator=Vasiliev E.	    First author or institution
#INFO	cites=bibcode:2021MNRAS.505.5978V	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/505/5978	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.75055978	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_505_5978_tablea1:
#Name: J/MNRAS/505/5978/tablea1
#Title: The catalogue of cluster proper motions
#Column	Name	(a12)	Common name, NGC identifier, etc.	[ucd=meta.id;meta.main]
#Column	OName	(a10)	Other name	[ucd=meta.id]
#Column	RAJ2000	(F7.3)	Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F7.3)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F7.3)	Proper motion in right ascension, pmRA*cosDE	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F7.3)	Proper motion in declination	[ucd=pos.pm;pos.eq.dec]
Name	OName	RAJ2000	DEJ2000	pmRA	pmDE
AM 4        	          	209.090	-27.167	 -0.291	 -2.512
NGC 5466    	          	211.364	+28.534	 -5.342	 -0.822
NGC 5634    	          	217.405	-05.976	 -1.692	 -1.478
NGC 5694    	          	219.901	-26.539	 -0.464	 -1.105
IC 4499     	          	225.077	-82.214	  0.466	 -0.489
Munoz 1     	          	225.450	+66.969	 -0.100	 -0.020
NGC 5824    	          	225.994	-33.068	 -1.189	 -2.234
Pal 5       	          	229.019	-00.121	 -2.730	 -2.654
NGC 5897    	          	229.352	-21.010	 -5.422	 -3.393
NGC 5904    	M 5       	229.638	+02.081	  4.086	 -9.870
NGC 5927    	          	232.003	-50.673	 -5.056	 -3.217
NGC 5946    	          	233.869	-50.660	 -5.331	 -1.657
BH 176      	          	234.781	-50.050	 -3.989	 -3.057
NGC 5986    	          	236.512	-37.786	 -4.192	 -4.568
FSR 1716    	          	242.625	-53.749	 -4.354	 -8.832
Pal 14      	Arp 1     	242.752	+14.958	 -0.463	 -0.413
BH 184      	Lynga 7   	242.765	-55.318	 -3.851	 -7.050
NGC 6093    	M 80      	244.260	-22.976	 -2.934	 -5.578
Ryu 059     	RLGC 1    	244.286	-44.593	  1.022	  0.770
NGC 6121    	M 4       	245.897	-26.526	-12.514	-19.022
NGC 6101    	          	246.450	-72.202	  1.756	 -0.258
NGC 6144    	          	246.808	-26.023	 -1.744	 -2.607
NGC 6139    	          	246.918	-38.849	 -6.081	 -2.711
Terzan 3    	          	247.167	-35.353	 -5.577	 -1.760
NGC 6171    	M 107     	248.133	-13.054	 -1.939	 -5.979
ESO 452-11  	1636-283  	249.854	-28.399	 -1.423	 -6.472
NGC 6205    	M 13      	250.422	+36.460	 -3.149	 -2.574
NGC 6229    	          	251.745	+47.528	 -1.171	 -0.467
NGC 6218    	M 12      	251.809	-01.949	 -0.191	 -6.802
FSR 1735    	          	253.044	-47.058	 -4.439	 -1.534
NGC 6235    	          	253.355	-22.177	 -3.931	 -7.587
NGC 6254    	M 10      	254.288	-04.100	 -4.758	 -6.597
NGC 6256    	          	254.886	-37.121	 -3.715	 -1.637
Pal 15      	          	254.963	-00.539	 -0.592	 -0.901
NGC 6266    	M 62      	255.303	-30.114	 -4.978	 -2.947
NGC 6273    	M 19      	255.657	-26.268	 -3.249	  1.660
NGC 6284    	          	256.119	-24.765	 -3.200	 -2.002
NGC 6287    	          	256.288	-22.708	 -5.010	 -1.883
NGC 6293    	          	257.543	-26.582	  0.870	 -4.326
NGC 6304    	          	258.634	-29.462	 -4.070	 -1.088
NGC 6316    	          	259.155	-28.140	 -4.969	 -4.592
NGC 6341    	M 92      	259.281	+43.136	 -4.935	 -0.625
NGC 6325    	          	259.497	-23.766	 -8.289	 -9.000
NGC 6333    	M 9       	259.797	-18.516	 -2.180	 -3.222
NGC 6342    	          	260.292	-19.587	 -2.903	 -7.116
NGC 6356    	          	260.896	-17.813	 -3.750	 -3.392
NGC 6355    	          	260.994	-26.353	 -4.738	 -0.572
NGC 6352    	          	261.371	-48.422	 -2.158	 -4.447
IC 1257     	          	261.785	-07.093	 -1.007	 -1.492
Terzan 2    	HP 3      	261.888	-30.802	 -2.170	 -6.263
NGC 6366    	          	261.934	-05.080	 -0.332	 -5.160
Terzan 4    	HP 4      	262.663	-31.596	 -5.462	 -3.711
BH 229      	HP 1      	262.772	-29.982	  2.523	-10.093
FSR 1758    	          	262.800	-39.808	 -2.881	  2.519
NGC 6362    	          	262.979	-67.048	 -5.506	 -4.763
Liller 1    	          	263.352	-33.390	 -5.403	 -7.431
NGC 6380    	Ton 1     	263.617	-39.069	 -2.183	 -3.233
Terzan 1    	HP 2      	263.946	-30.481	 -2.806	 -4.861
Ton 2       	Pismis 26 	264.044	-38.553	 -5.904	 -0.755
NGC 6388    	          	264.072	-44.736	 -1.316	 -2.709
NGC 6402    	M 14      	264.400	-03.246	 -3.590	 -5.059
NGC 6401    	          	264.652	-23.910	 -2.748	  1.444
NGC 6397    	          	265.175	-53.674	  3.260	-17.664
VVV CL002   	          	265.276	-28.845	 -8.867	  2.390
Pal 6       	          	265.926	-26.223	 -9.222	 -5.347
NGC 6426    	          	266.228	+03.170	 -1.828	 -2.999
Djorg 1     	          	266.868	-33.066	 -4.693	 -8.468
Terzan 5    	Terzan 11 	267.020	-24.779	 -1.989	 -5.243
NGC 6440    	          	267.220	-20.360	 -1.187	 -4.020
NGC 6441    	          	267.554	-37.051	 -2.551	 -5.348
Terzan 6    	HP 5      	267.693	-31.275	 -4.979	 -7.431
NGC 6453    	          	267.715	-34.599	  0.203	 -5.934
UKS 1       	          	268.613	-24.145	 -2.023	 -2.760
VVV CL001   	          	268.677	-24.015	 -3.486	 -1.675
Gran 1      	          	269.653	-32.020	 -8.163	 -8.045
Pfleiderer 2	          	269.664	-05.070	 -2.784	 -4.158
NGC 6496    	          	269.765	-44.266	 -3.060	 -9.271
Terzan 9    	          	270.412	-26.840	 -2.121	 -7.763
Djorg 2     	ESO 456-38	270.455	-27.826	  0.662	 -2.983
NGC 6517    	          	270.461	-08.959	 -1.551	 -4.470
Terzan 10   	          	270.742	-26.073	 -6.827	 -2.588
NGC 6522    	          	270.892	-30.034	  2.566	 -6.438
NGC 6535    	          	270.960	-00.298	 -4.214	 -2.939
NGC 6528    	          	271.207	-30.056	 -2.157	 -5.649
NGC 6539    	          	271.207	-07.586	 -6.896	 -3.537
NGC 6540    	Djorg 3   	271.536	-27.765	 -3.702	 -2.791
NGC 6544    	          	271.836	-24.997	 -2.304	-18.604
NGC 6541    	          	272.010	-43.715	  0.287	 -8.847
ESO 280-06  	          	272.275	-46.423	 -0.688	 -2.777
NGC 6553    	          	272.323	-25.909	  0.344	 -0.454
NGC 6558    	          	272.573	-31.764	 -1.720	 -4.144
Pal 7       	IC 1276   	272.684	-07.208	 -2.553	 -4.568
Terzan 12   	          	273.066	-22.742	 -6.222	 -3.052
NGC 6569    	          	273.412	-31.827	 -4.125	 -7.354
BH 261      	ESO 456-78	273.527	-28.635	  3.566	 -3.590
NGC 6584    	          	274.657	-52.216	 -0.090	 -7.202
Mercer 5    	          	275.832	-13.669	 -3.965	 -7.220
NGC 6624    	          	275.919	-30.361	  0.124	 -6.936
NGC 6626    	M 28      	276.137	-24.870	 -0.278	 -8.922
NGC 6638    	          	277.734	-25.497	 -2.518	 -4.076
NGC 6637    	M 69      	277.846	-32.348	 -5.034	 -5.832
NGC 6642    	          	277.975	-23.475	 -0.173	 -3.892
NGC 6652    	          	278.940	-32.991	 -5.484	 -4.274
NGC 6656    	M 22      	279.100	-23.905	  9.851	 -5.617
Pal 8       	          	280.375	-19.826	 -1.987	 -5.694
NGC 6681    	M 70      	280.803	-32.292	  1.431	 -4.744
Ryu 879     	RLGC 2    	281.367	-05.192	 -2.396	 -1.794
NGC 6712    	          	283.268	-08.706	  3.363	 -4.436
NGC 6715    	M 54      	283.764	-30.480	 -2.679	 -1.387
NGC 6717    	Pal 9     	283.775	-22.701	 -3.125	 -5.008
NGC 6723    	          	284.888	-36.632	  1.028	 -2.418
NGC 6749    	          	286.314	+01.901	 -2.829	 -6.006
NGC 6752    	          	287.717	-59.985	 -3.161	 -4.027
NGC 6760    	          	287.800	+01.030	 -1.107	 -3.615
NGC 6779    	M 56      	289.148	+30.183	 -2.018	  1.618
Terzan 7    	          	289.433	-34.658	 -3.002	 -1.651
Pal 10      	          	289.509	+18.572	 -4.322	 -7.173
Arp 2       	          	292.184	-30.356	 -2.331	 -1.475
NGC 6809    	M 55      	294.999	-30.965	 -3.432	 -9.311
Terzan 8    	          	295.435	-33.999	 -2.496	 -1.581
Pal 11      	          	296.310	-08.007	 -1.766	 -4.971
NGC 6838    	M 71      	298.444	+18.779	 -3.416	 -2.656
NGC 6864    	M 75      	301.520	-21.921	 -0.598	 -2.810
NGC 6934    	          	308.547	+07.404	 -2.655	 -4.689
NGC 6981    	M 72      	313.365	-12.537	 -1.274	 -3.361
NGC 7006    	          	315.372	+16.187	 -0.128	 -0.633
Laevens 3   	          	316.729	+14.984	  0.172	 -0.666
Segue 3     	          	320.379	+19.117	 -0.981	 -1.667
NGC 7078    	M 15      	322.493	+12.167	 -0.659	 -3.803
NGC 7089    	M 2       	323.363	-00.823	  3.435	 -2.159
NGC 7099    	M 30      	325.092	-23.180	 -0.737	 -7.299
Pal 12      	          	326.662	-21.253	 -3.220	 -3.333
Pal 13      	          	346.685	+12.772	  1.748	  0.104
NGC 7492    	          	347.111	-15.611	  0.756	 -2.320

