#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-25T13:20:11 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-25T13:20:11	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VII/202/catalog&-out=ID,Name,Rsun,Rgc,X,Y,Z,Vr,Vlsr&-out.max=200	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7202
#Name: VII/202
#Title: Globular Clusters in the Milky Way (Harris, 1997)
#INFO	ivoid=ivo://cds.vizier/vii/202	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/202	    IVOID of underlying data collection
#INFO	creator=Harris W.E.	    First author or institution
#INFO	cites=bibcode:1996AJ....112.1487H	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=1996	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/202	    Dataset landing page
#INFO	publication_date=2015-08-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VII_202_catalog:
#Name: VII/202/catalog
#Title: The catalogue of Globular Clusters
#Column	ID	(A9)	Cluster identification number	[ucd=meta.id;phys.atmol.number]
#Column	Name	(a11)	Other commonly used cluster name	[ucd=meta.id;meta.main]
#Column	Rsun	(F5.1)	? Distance from Sun	[ucd=pos.distance;pos.heliocentric]
#Column	Rgc	(F5.1)	? Distance from Galactic center, assuming R(Sun)=8.0 kpc	[ucd=pos.distance;pos.galactocentric]
#Column	X	(F5.1)	? X-component (1)	[ucd=pos]
#Column	Y	(F5.1)	? Y-component (1)	[ucd=pos]
#Column	Z	(F5.1)	? Z-component (1)	[ucd=pos]
#Column	Vr	(F6.1)	? Heliocentric radial velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Vlsr	(F6.1)	? Radial velocity relative to Solar local standard of rest	[ucd=spect.dopplerVeloc;pos.lsr]
ID	Name	Rsun	Rgc	X	Y	Z	Vr	Vlsr
NGC 5053 	           	 16.2	 16.8	  2.8	 -1.3	 15.9	  44.0	  51.8
NGC 5139 	omega Cen  	  5.1	  6.3	  3.1	 -3.8	  1.3	 232.3	 229.4
NGC 5272 	M 3        	 10.0	 11.9	  1.5	  1.3	  9.8	-148.6	-138.0
NGC 5286 	           	 10.7	  8.2	  7.0	 -7.9	  2.0	  58.3	  55.6
AM 4     	           	 29.2	 24.8	 18.7	-15.6	 16.1	      	
NGC 5466 	           	 16.6	 16.9	  3.5	  3.2	 15.9	 107.7	 119.7
NGC 5634 	           	 25.3	 21.3	 15.7	 -5.1	 19.2	 -45.1	 -36.1
NGC 5694 	           	 33.9	 28.3	 25.6	-14.1	 17.1	-145.8	-140.4
IC 4499  	           	 18.4	 15.4	 10.5	-13.7	 -6.4	      	
NGC 5824 	           	 31.3	 25.1	 25.7	-13.4	 11.7	 -38.4	 -33.4
Pal 5    	           	 22.6	 18.0	 15.8	  0.2	 16.2	 -55.0	 -42.4
NGC 5897 	           	 12.7	  7.6	 10.5	 -3.2	  6.4	 101.5	 110.0
NGC 5904 	M 5        	  7.3	  6.1	  5.0	  0.3	  5.3	  52.1	  65.2
NGC 5927 	           	  7.4	  4.5	  6.2	 -4.1	  0.6	-115.7	-114.5
NGC 5946 	           	 12.3	  7.1	 10.4	 -6.6	  0.9	 119.5	 120.9
BH 176   	           	 15.2	  9.4	 12.9	 -8.0	  1.2	      	
NGC 5986 	           	 10.3	  4.7	  9.2	 -3.9	  2.4	  88.9	  94.3
Lynga 7  	           	  7.0	  4.2	  6.0	 -3.6	 -0.3	   8.0	   8.9
Pal 14   	AvdB       	 72.2	 67.3	 46.9	 25.7	 48.5	  76.6	  93.5
NGC 6093 	M 80       	  8.7	  3.1	  8.1	 -1.0	  2.9	   9.3	  19.7
NGC 6121 	M 4        	  2.2	  6.0	  2.0	 -0.3	  0.6	  70.2	  79.8
NGC 6101 	           	 15.1	 11.0	 10.8	 -9.8	 -4.1	 361.4	 357.2
NGC 6144 	           	 10.1	  3.4	  9.6	 -1.4	  2.7	 188.9	 198.8
NGC 6139 	           	 10.5	  3.9	  9.9	 -3.2	  1.3	   6.7	  13.0
Terzan 3 	           	 26.4	 18.9	 25.2	 -6.7	  4.2	      	
NGC 6171 	M 107      	  6.3	  3.3	  5.8	  0.3	  2.4	 -33.8	 -20.6
1636-283 	ESO452-SC11	  7.6	  2.0	  7.4	 -1.0	  1.6	      	
NGC 6205 	M 13       	  7.0	  8.3	  2.7	  4.5	  4.6	-246.6	-228.2
NGC 6229 	           	 29.3	 28.7	  6.3	 21.4	 19.0	-154.2	-136.4
NGC 6218 	M 12       	  4.7	  4.6	  4.1	  1.2	  2.1	 -42.1	 -26.3
NGC 6235 	           	  9.7	  2.7	  9.5	 -0.2	  2.3	  87.3	  98.8
NGC 6254 	M 10       	  4.3	  4.6	  3.8	  1.0	  1.7	  75.8	  91.5
NGC 6256 	           	  9.3	  2.3	  9.1	 -2.0	  0.5	      	
Pal 15   	           	 43.6	 36.9	 37.6	 12.8	 17.9	  68.9	  85.2
NGC 6266 	M 62       	  6.7	  1.8	  6.6	 -0.7	  0.9	 -65.8	 -56.3
NGC 6273 	M 19       	  8.5	  1.5	  8.4	 -0.5	  1.4	 135.0	 145.6
NGC 6284 	           	 14.3	  6.6	 14.1	 -0.4	  2.5	  29.7	  40.8
NGC 6287 	           	  8.4	  1.6	  8.3	  0.0	  1.6	-208.0	-196.4
NGC 6293 	           	  8.8	  1.5	  8.7	 -0.4	  1.2	 -98.9	 -88.2
NGC 6304 	           	  6.0	  2.2	  5.9	 -0.4	  0.6	-107.3	 -97.4
NGC 6316 	           	 11.5	  3.7	 11.4	 -0.6	  1.2	  71.5	  81.8
NGC 6341 	M 92       	  8.1	  9.5	  2.4	  6.1	  4.6	-121.6	-103.0
NGC 6325 	           	  9.4	  1.9	  9.3	  0.2	  1.3	   3.1	  14.7
NGC 6333 	M 9        	  8.3	  1.7	  8.1	  0.8	  1.5	 229.1	 242.0
NGC 6342 	           	  9.1	  1.9	  8.9	  0.8	  1.5	  80.9	  93.6
NGC 6356 	           	 14.6	  7.0	 14.3	  1.7	  2.6	  27.0	  40.2
NGC 6355 	           	  7.1	  1.2	  7.0	 -0.1	  0.7	-176.9	-166.0
NGC 6352 	           	  5.6	  3.3	  5.2	 -1.8	 -0.7	-120.9	-116.7
IC 1257  	           	 24.5	 17.3	 22.6	  6.7	  6.4	      	
Terzan 2 	HP 3       	  9.5	  1.6	  9.5	 -0.6	  0.4	 109.0	 118.7
NGC 6366 	           	  3.6	  4.9	  3.3	  1.1	  1.0	-122.3	-106.3
Terzan 4 	HP 4       	  8.9	  1.1	  8.9	 -0.6	  0.2	 -50.0	 -40.5
HP 1     	BH 229     	  7.2	  0.9	  7.2	 -0.3	  0.3	  53.1	  63.1
NGC 6362 	           	  7.5	  5.1	  5.9	 -4.0	 -2.3	 -13.1	 -15.1
Liller 1 	           	 10.5	  2.6	 10.5	 -0.9	  0.0	  52.0	  61.0
NGC 6380 	Ton 1      	     	     	     	     	     	      	
Terzan 1 	HP 2       	  6.5	  1.5	  6.5	 -0.3	  0.1	  35.0	  44.9
Ton 2    	Pismis 26  	  7.9	  1.4	  7.8	 -1.3	 -0.5	      	
NGC 6388 	           	 11.5	  4.4	 11.1	 -2.9	 -1.4	  81.2	  86.7
NGC 6402 	M 14       	  8.7	  3.8	  7.8	  3.1	  2.2	 -66.1	 -49.7
NGC 6401 	           	  7.5	  0.9	  7.5	  0.5	  0.5	 -65.0	 -53.2
NGC 6397 	           	  2.2	  6.0	  2.0	 -0.8	 -0.5	  18.9	  21.4
Pal 6    	           	  6.7	  1.4	  6.7	  0.2	  0.2	 201.0	 212.2
NGC 6426 	           	 19.9	 13.8	 16.8	  9.0	  5.6	-162.0	-144.5
Djorg 1  	           	  9.2	  1.4	  9.2	 -0.5	 -0.4	      	
Terzan 5 	Terzan 11  	  8.0	  0.6	  8.0	  0.5	  0.2	 -94.0	 -82.4
NGC 6440 	           	  8.0	  1.2	  7.9	  1.1	  0.5	 -78.7	 -65.9
NGC 6441 	           	  9.7	  2.1	  9.6	 -1.1	 -0.8	  18.3	  26.3
Terzan 6 	HP 5       	  7.5	  0.6	  7.5	 -0.2	 -0.3	 126.0	 135.7
NGC 6453 	           	 10.9	  3.1	 10.9	 -0.8	 -0.7	 -83.7	 -74.9
UKS 1    	           	  7.5	  0.8	  7.5	  0.7	  0.1	      	
NGC 6496 	           	 11.6	  4.4	 11.1	 -2.4	 -2.0	-112.7	-107.0
Terzan 9 	           	  7.8	  0.6	  7.8	  0.5	 -0.3	  59.0	  70.0
Djorg 2  	E456-SC38  	 13.8	  5.8	 13.8	  0.7	 -0.6	      	
NGC 6517 	           	 10.5	  4.1	  9.9	  3.4	  1.2	 -39.6	 -24.1
Terzan 10	           	  8.4	  0.8	  8.3	  0.6	 -0.3	      	
NGC 6522 	           	  7.0	  1.1	  7.0	  0.1	 -0.5	 -15.0	  -4.9
NGC 6535 	           	  6.8	  3.9	  5.9	  3.0	  1.2	-215.1	-198.0
NGC 6528 	           	  7.4	  0.8	  7.4	  0.1	 -0.5	 184.9	 195.0
NGC 6539 	           	  7.9	  3.0	  7.3	  2.8	  0.9	 -45.6	 -29.9
NGC 6540 	Djorg 3    	  3.5	  4.5	  3.5	  0.2	 -0.2	      	
NGC 6544 	           	  2.5	  5.5	  2.5	  0.3	 -0.1	 -27.3	 -15.7
NGC 6541 	           	  7.4	  2.1	  7.2	 -1.4	 -1.4	-156.2	-150.3
NGC 6553 	           	  4.7	  3.3	  4.7	  0.4	 -0.2	  -6.5	   4.8
NGC 6558 	           	  6.4	  1.8	  6.4	  0.0	 -0.7	-143.7	-134.1
IC 1276  	Pal 7      	  9.3	  3.6	  8.6	  3.5	  0.9	      	
Terzan 12	           	     	     	     	     	     	      	
NGC 6569 	           	  8.5	  1.1	  8.4	  0.1	 -1.0	 -28.1	 -18.5
NGC 6584 	           	 13.0	  6.5	 11.8	 -3.8	 -3.7	 222.9	 226.0
NGC 6624 	           	  7.9	  1.2	  7.8	  0.4	 -1.1	  53.9	  63.9
NGC 6626 	M 28       	  5.7	  2.5	  5.7	  0.8	 -0.6	  17.0	  28.5
NGC 6638 	           	  8.2	  1.5	  8.0	  1.1	 -1.0	  18.1	  29.4
NGC 6637 	M 69       	  8.2	  1.5	  8.1	  0.2	 -1.5	  39.9	  49.3
NGC 6642 	           	  7.6	  1.6	  7.5	  1.3	 -0.9	 -57.2	 -45.3
NGC 6652 	           	  9.4	  2.2	  9.2	  0.2	 -1.9	-111.7	-102.6
NGC 6656 	M 22       	  3.2	  5.0	  3.1	  0.5	 -0.4	-148.9	-137.2
Pal 8    	           	 12.4	  5.2	 12.0	  3.0	 -1.5	 -43.0	 -30.3
NGC 6681 	M 70       	  8.7	  2.0	  8.5	  0.4	 -1.9	 218.6	 227.9
NGC 6712 	           	  6.7	  3.5	  6.0	  2.9	 -0.5	-107.7	 -92.6
NGC 6715 	M 54       	 26.2	 18.6	 25.3	  2.5	 -6.4	 141.9	 151.6
NGC 6717 	Pal 9      	  7.1	  2.4	  6.8	  1.6	 -1.3	  22.8	  34.6
NGC 6723 	           	  8.6	  2.6	  8.2	  0.0	 -2.5	 -94.5	 -86.7
NGC 6749 	           	  7.7	  4.9	  6.2	  4.6	 -0.3	      	
NGC 6752 	           	  3.9	  5.3	  3.2	 -1.4	 -1.7	 -24.5	 -24.4
NGC 6760 	           	  7.3	  4.8	  5.9	  4.3	 -0.5	 -27.5	 -10.9
NGC 6779 	M 56       	  9.9	  9.5	  4.5	  8.7	  1.4	-135.7	-116.9
Terzan 7 	           	 23.0	 15.8	 21.6	  1.3	 -7.9	 166.0	 174.1
Pal 10   	           	  5.8	  6.4	  3.5	  4.6	  0.3	      	
Arp 2    	           	 27.6	 20.4	 25.5	  3.8	 -9.8	 115.0	 124.1
NGC 6809 	M 55       	  5.3	  3.9	  4.8	  0.7	 -2.1	 174.8	 183.4
Terzan 8 	           	 25.4	 18.5	 23.0	  2.3	-10.6	 130.0	 137.7
Pal 11   	           	 12.6	  7.6	 10.3	  6.4	 -3.4	 -68.0	 -53.9
NGC 6838 	M 71       	  3.8	  6.7	  2.1	  3.2	 -0.3	 -22.9	  -5.5
NGC 6864 	M 75       	 18.4	 12.4	 15.5	  5.7	 -8.0	-189.3	-179.1
NGC 6934 	           	 15.2	 12.4	  8.8	 11.3	 -4.9	-411.4	-396.7
NGC 6981 	M 72       	 16.8	 12.7	 11.6	  8.1	 -9.1	-345.1	-334.7
NGC 7006 	           	 40.7	 38.0	 17.0	 34.4	-13.5	-377.6	-363.2
NGC 7078 	M 15       	 10.2	 10.3	  3.8	  8.2	 -4.7	-107.5	 -95.0
NGC 7089 	M 2        	 11.4	 10.3	  5.5	  7.4	 -6.7	  -5.3	   5.1
NGC 7099 	M 30       	  7.9	  7.0	  4.8	  2.5	 -5.7	-184.2	-178.6
Pal 12   	           	 18.7	 15.5	 10.8	  6.4	-13.8	  27.8	  33.5
Pal 13   	           	 26.3	 27.2	  1.0	 19.3	-17.9	 -28.0	 -21.7
NGC 7492 	           	 25.2	 24.3	  6.7	  9.0	-22.5	-207.6	-206.1

